"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 12:41:07 MSK 2022","Thu Jul 07 12:41:08 MSK 2022","1042","","CreateOrderTest","","CreateOrderTest","createOrderWithDifferentColorsTest[1]","createOrderWithDifferentColorsTest[1]",""
"passed","Thu Jul 07 12:41:06 MSK 2022","Thu Jul 07 12:41:06 MSK 2022","937","","CreateOrderTest","","CreateOrderTest","checkCreateOrderResponseContentsTrackTest[0]","checkCreateOrderResponseContentsTrackTest[0]",""
"passed","Thu Jul 07 12:42:31 MSK 2022","Thu Jul 07 12:42:32 MSK 2022","1678","","LoginCourierTest","","LoginCourierTest","loginWithEmptyLoginFailsTest","loginWithEmptyLoginFailsTest",""
"passed","Thu Jul 07 12:41:14 MSK 2022","Thu Jul 07 12:41:15 MSK 2022","863","","CreateOrderTest","","CreateOrderTest","checkCreateOrderResponseContentsTrackTest[5]","checkCreateOrderResponseContentsTrackTest[5]",""
"passed","Thu Jul 07 12:40:55 MSK 2022","Thu Jul 07 12:40:57 MSK 2022","1880","","CreateCourierTest","","CreateCourierTest","createCouriersWithSameLoginFailTest","createCouriersWithSameLoginFailTest",""
"passed","Thu Jul 07 12:40:53 MSK 2022","Thu Jul 07 12:40:55 MSK 2022","1784","","CreateCourierTest","","CreateCourierTest","createTwoEqualCouriersFailsTest","createTwoEqualCouriersFailsTest",""
"passed","Thu Jul 07 12:41:22 MSK 2022","Thu Jul 07 12:41:23 MSK 2022","1252","","GetOrderByTrackTest","","GetOrderByTrackTest","getOrderByTrackWithoutTrackFailsTest","getOrderByTrackWithoutTrackFailsTest",""
"passed","Thu Jul 07 12:41:21 MSK 2022","Thu Jul 07 12:41:22 MSK 2022","1140","","GetOrderByTrackTest","","GetOrderByTrackTest","getOrderByTrackSuccessTest","getOrderByTrackSuccessTest",""
"passed","Thu Jul 07 12:40:40 MSK 2022","Thu Jul 07 12:40:44 MSK 2022","3514","","AcceptOrderTest","","AcceptOrderTest","acceptOrderWithoutOrderIdTest","acceptOrderWithoutOrderIdTest",""
"passed","Thu Jul 07 12:41:24 MSK 2022","Thu Jul 07 12:41:26 MSK 2022","1500","","LoginCourierTest","","LoginCourierTest","loginWithoutLoginFailsTest","loginWithoutLoginFailsTest",""
"passed","Thu Jul 07 12:41:18 MSK 2022","Thu Jul 07 12:41:20 MSK 2022","1555","","DeleteCourierTest","","DeleteCourierTest","deleteCourierWrongRequestFailsTest","deleteCourierWrongRequestFailsTest",""
"passed","Thu Jul 07 12:40:57 MSK 2022","Thu Jul 07 12:40:58 MSK 2022","1169","","CreateCourierTest","","CreateCourierTest","createCourierWithEmptyFirstnameTest","createCourierWithEmptyFirstnameTest",""
"passed","Thu Jul 07 12:41:11 MSK 2022","Thu Jul 07 12:41:11 MSK 2022","807","","CreateOrderTest","","CreateOrderTest","checkCreateOrderResponseContentsTrackTest[3]","checkCreateOrderResponseContentsTrackTest[3]",""
"passed","Thu Jul 07 12:41:02 MSK 2022","Thu Jul 07 12:41:02 MSK 2022","494","","CreateCourierTest","","CreateCourierTest","createCourierWithoutLoginTest","createCourierWithoutLoginTest",""
"passed","Thu Jul 07 12:43:37 MSK 2022","Thu Jul 07 12:43:39 MSK 2022","1530","","LoginCourierTest","","LoginCourierTest","loginWithWrongLoginFailsTest","loginWithWrongLoginFailsTest",""
"passed","Thu Jul 07 12:41:08 MSK 2022","Thu Jul 07 12:41:09 MSK 2022","732","","CreateOrderTest","","CreateOrderTest","createOrderWithDifferentColorsTest[2]","createOrderWithDifferentColorsTest[2]",""
"passed","Thu Jul 07 12:41:27 MSK 2022","Thu Jul 07 12:42:29 MSK 2022","61533","","LoginCourierTest","","LoginCourierTest","loginWithoutPasswordFailsTest","loginWithoutPasswordFailsTest",""
"passed","Thu Jul 07 12:40:55 MSK 2022","Thu Jul 07 12:40:55 MSK 2022","405","","CreateCourierTest","","CreateCourierTest","createCourierWithEmptyPasswordTest","createCourierWithEmptyPasswordTest",""
"passed","Thu Jul 07 12:42:29 MSK 2022","Thu Jul 07 12:42:31 MSK 2022","1758","","LoginCourierTest","","LoginCourierTest","checkLoginResponseReturnsIdTest","checkLoginResponseReturnsIdTest",""
"passed","Thu Jul 07 12:40:58 MSK 2022","Thu Jul 07 12:40:59 MSK 2022","544","","CreateCourierTest","","CreateCourierTest","createCourierWithEmptyLoginTest","createCourierWithEmptyLoginTest",""
"passed","Thu Jul 07 12:41:02 MSK 2022","Thu Jul 07 12:41:04 MSK 2022","1198","","CreateCourierTest","","CreateCourierTest","checkCourierSuccessReturnsOkTest","checkCourierSuccessReturnsOkTest",""
"passed","Thu Jul 07 12:40:59 MSK 2022","Thu Jul 07 12:40:59 MSK 2022","379","","CreateCourierTest","","CreateCourierTest","createCourierWithoutPasswordTest","createCourierWithoutPasswordTest",""
"passed","Thu Jul 07 12:40:27 MSK 2022","Thu Jul 07 12:40:40 MSK 2022","12903","","AcceptOrderTest","","AcceptOrderTest","acceptOrderWithWrongOrderIdTest","acceptOrderWithWrongOrderIdTest",""
"passed","Thu Jul 07 12:42:32 MSK 2022","Thu Jul 07 12:43:34 MSK 2022","61739","","LoginCourierTest","","LoginCourierTest","loginWithEmptyPasswordFailsTest","loginWithEmptyPasswordFailsTest",""
"passed","Thu Jul 07 12:41:13 MSK 2022","Thu Jul 07 12:41:14 MSK 2022","749","","CreateOrderTest","","CreateOrderTest","createOrderWithDifferentColorsTest[5]","createOrderWithDifferentColorsTest[5]",""
"passed","Thu Jul 07 12:41:26 MSK 2022","Thu Jul 07 12:41:27 MSK 2022","1365","","LoginCourierTest","","LoginCourierTest","loginCourierSuccessTest","loginCourierSuccessTest",""
"passed","Thu Jul 07 12:40:44 MSK 2022","Thu Jul 07 12:40:47 MSK 2022","3036","","AcceptOrderTest","","AcceptOrderTest","checkOrderSuccessReturnsOkTest","checkOrderSuccessReturnsOkTest",""
"passed","Thu Jul 07 12:43:34 MSK 2022","Thu Jul 07 12:43:37 MSK 2022","3253","","LoginCourierTest","","LoginCourierTest","loginWithWrongPasswordFailsTest","loginWithWrongPasswordFailsTest",""
"passed","Thu Jul 07 12:40:59 MSK 2022","Thu Jul 07 12:41:01 MSK 2022","1407","","CreateCourierTest","","CreateCourierTest","checkCreateCourierSuccessStatusCodeTest","checkCreateCourierSuccessStatusCodeTest",""
"passed","Thu Jul 07 12:41:11 MSK 2022","Thu Jul 07 12:41:12 MSK 2022","920","","CreateOrderTest","","CreateOrderTest","createOrderWithDifferentColorsTest[4]","createOrderWithDifferentColorsTest[4]",""
"passed","Thu Jul 07 12:41:01 MSK 2022","Thu Jul 07 12:41:02 MSK 2022","1236","","CreateCourierTest","","CreateCourierTest","createCourierSuccessTest","createCourierSuccessTest",""
"passed","Thu Jul 07 12:41:08 MSK 2022","Thu Jul 07 12:41:08 MSK 2022","695","","CreateOrderTest","","CreateOrderTest","checkCreateOrderResponseContentsTrackTest[1]","checkCreateOrderResponseContentsTrackTest[1]",""
"passed","Thu Jul 07 12:41:10 MSK 2022","Thu Jul 07 12:41:11 MSK 2022","803","","CreateOrderTest","","CreateOrderTest","createOrderWithDifferentColorsTest[3]","createOrderWithDifferentColorsTest[3]",""
"passed","Thu Jul 07 12:40:47 MSK 2022","Thu Jul 07 12:40:50 MSK 2022","3116","","AcceptOrderTest","","AcceptOrderTest","acceptOrderWithoutCourierIdTest","acceptOrderWithoutCourierIdTest",""
"passed","Thu Jul 07 12:41:16 MSK 2022","Thu Jul 07 12:41:18 MSK 2022","1502","","DeleteCourierTest","","DeleteCourierTest","deleteCourierWithoutIdFailsTest","deleteCourierWithoutIdFailsTest",""
"passed","Thu Jul 07 12:41:23 MSK 2022","Thu Jul 07 12:41:24 MSK 2022","1383","","GetOrderByTrackTest","","GetOrderByTrackTest","getOrderByTrackWithWrongTrackFailsTest","getOrderByTrackWithWrongTrackFailsTest",""
"passed","Thu Jul 07 12:41:05 MSK 2022","Thu Jul 07 12:41:06 MSK 2022","792","","CreateOrderTest","","CreateOrderTest","createOrderWithDifferentColorsTest[0]","createOrderWithDifferentColorsTest[0]",""
"passed","Thu Jul 07 12:43:39 MSK 2022","Thu Jul 07 12:43:42 MSK 2022","2811","","OrdersListTest","","OrdersListTest","getOrdersListTest","getOrdersListTest",""
"passed","Thu Jul 07 12:41:12 MSK 2022","Thu Jul 07 12:41:13 MSK 2022","879","","CreateOrderTest","","CreateOrderTest","checkCreateOrderResponseContentsTrackTest[4]","checkCreateOrderResponseContentsTrackTest[4]",""
"passed","Thu Jul 07 12:41:04 MSK 2022","Thu Jul 07 12:41:05 MSK 2022","1146","","CreateCourierTest","","CreateCourierTest","createCourierWithoutFirstNameTest","createCourierWithoutFirstNameTest",""
